filename,formula,absorbing_element,oxidation_state,coordination_number
Chorover13BM_Zn_hopeite_rt_01.xdi,Zn3(PO4)2·4H2O,Zn,2,6
Chorover13BM_Zn_hopeite_rt_02.xdi,Zn3(PO4)2·4H2O,Zn,2,6
Chorover13BM_Zn_hopeite_rt_03.xdi,Zn3(PO4)2·4H2O,Zn,2,6
Chorover13BM_Zn_smithsonite_rt_01.xdi,ZnCO3,Zn,2,6
Chorover13BM_Zn_smithsonite_rt_02.xdi,ZnCO3,Zn,2,6
Chorover13BM_Zn_smithsonite_rt_03.xdi,ZnCO3,Zn,2,6
Chorover13BM_Zn_sphalerite_rt_01.xdi,ZnS,Zn,2,4
Chorover13BM_Zn_sphalerite_rt_02.xdi,ZnS,Zn,2,4
Chorover13BM_Zn_sphalerite_rt_03.xdi,ZnS,Zn,2,4
co_metal_rt.xdi,Co,Co,0,12
cr2o3_100K_001.xdi,Cr2O3,Cr,3,6
cr2o3_100K_002.xdi,Cr2O3,Cr,3,6
cr2o3_100K_004.xdi,Cr2O3,Cr,3,6
cr2o3_15K_001.xdi,Cr2O3,Cr,3,6
cr2o3_rt_001.xdi,Cr2O3,Cr,3,6
cr2o3_rt_002.xdi,Cr2O3,Cr,3,6
cr2o3_rt_003.xdi,Cr2O3,Cr,3,6
cr2o3_ssrl4_1_rt_001.xdi,Cr2O3,Cr,3,6
cr2o3_ssrl4_1_rt_002.xdi,Cr2O3,Cr,3,6
cr2o3_ssrl4_1_rt_003.xdi,Cr2O3,Cr,3,6
cr2s3_100K_001.xdi,Cr2S3,Cr,3,6
cr2s3_100K_002.xdi,Cr2S3,Cr,3,6
cr2s3_100K_004.xdi,Cr2S3,Cr,3,6
cr2s3_15K_001.xdi,Cr2S3,Cr,3,6
cr2s3_15K_002.xdi,Cr2S3,Cr,3,6
cr2s3_15K_003.xdi,Cr2S3,Cr,3,6
cr2s3_rt_001.xdi,Cr2S3,Cr,3,6
cr2s3_rt_002.xdi,Cr2S3,Cr,3,6
cr2s3_rt_003.xdi,Cr2S3,Cr,3,6
cro2_15K_001.xdi,CrO2,Cr,4,6
cro2_15K_002.xdi,CrO2,Cr,4,6
cro2_15K_003.xdi,CrO2,Cr,4,6
cro2_rt_001.xdi,CrO2,Cr,4,6
cro2_rt_002.xdi,CrO2,Cr,4,6
cro2_rt_003.xdi,CrO2,Cr,4,6
Cu metal.xdi,Cu,Cu,0,12
Cu2S_13K_01.xdi,Cu2S,Cu,1,2
CuO_tenorite_13K_01.xdi,CuO,Cu,2,4
CuS_covellite_13K_01.xdi,CuS,Cu,2,4
Cu_azurite_13K_01.xdi,Cu3(CO3)2(OH)2,Cu,2,4
Cu_Foil_rt_2016Foils_13IDE_01.xdi,Cu,Cu,0,12
cu_metal_10K.xdi,Cu,Cu,0,12
cu_metal_rt.xdi,Cu,Cu,0,12
Fe metal.xdi,Fe,Fe,0,8
Fe2O3_rt_01.xdi,Fe2O3,Fe,3,6
Fe3C_rt_01.xdi,Fe3C,Fe,0,6
Fe3O4_rt_01.xdi,Fe3O4,Fe,0.666666667,6月4日
FeN_rt_01.xdi,FeN,Fe,3,6
FeO_rt_01.xdi,FeO,Fe,2,6
FeS2_rt_01.xdi,FeS2,Fe,2,6
Fe_Foil_rt_2016Foils_13IDE_01.xdi,Fe,Fe,0,8
Fe_metal_rt_01.xdi,Fe,Fe,0,8
Fe_metal_rt_02.xdi,Fe,Fe,0,8
Fe_metal_rt_03.xdi,Fe,Fe,0,8
gaas_roomt_01.xdi,GaAs,As,3,4
Hansel2001_2lineFerrihydrite_xanes_001.xdi,FeOOH,Fe,3,6
Hansel2001_Fe_foil_xanes_001.xdi,Fe,Fe,0,8
Hansel2001_goethite_xanes_003.xdi,α-FeOOH,Fe,3,6
Hansel2001_greenrust_Cl_xanes_001.xdi,Green Rust (Cl-),Fe,0.666666667,6
Hansel2001_greenrust_Cl_xanes_002.xdi,Green Rust (Cl-),Fe,0.666666667,6
Hansel2001_greenrust_SO4_xanes_001.xdi,Green Rust (SO4),Fe,0.666666667,6
Hansel2001_greenrust_SO4_xanes_002.xdi,Green Rust (SO4),Fe,0.666666667,6
Hansel2001_magnetite_xanes_001.xdi,Fe3O4,Fe,0.666666667,6月4日
Hansel2001_magnetite_xanes_002.xdi,Fe3O4,Fe,0.666666667,6月4日
Hansel2001_siderite_xanes_001.xdi,FeCO3,Fe,2,6
Hansel2001_siderite_xanes_002.xdi,FeCO3,Fe,2,6
Hansel2001_vivianite_xanes_001.xdi,Fe3(PO4)2·8H2O,Fe,2,6
k2cr2o7_15K_001.xdi,K2Cr2O7,Cr,6,4
k2cr2o7_rt_001.xdi,K2Cr2O7,Cr,6,4
k2cr2o7_rt_003.xdi,K2Cr2O7,Cr,6,4
k2cr2o7_rt_004.xdi,K2Cr2O7,Cr,6,4
k2cro4_15K_001.xdi,K2CrO4,Cr,6,4
k2cro4_15K_002.xdi,K2CrO4,Cr,6,4
k2cro4_15K_003.xdi,K2CrO4,Cr,6,4
k2cro4_rt_001.xdi,K2CrO4,Cr,6,4
k2cro4_rt_002.xdi,K2CrO4,Cr,6,4
k2cro4_rt_003.xdi,K2CrO4,Cr,6,4
Mn2O3_rt_01.xdi,Mn2O3,Mn,3,6
Mn2O3_rt_02.xdi,Mn2O3,Mn,3,6
Mn2O3_rt_03.xdi,Mn2O3,Mn,3,6
Mn3O4_rt_01.xdi,Mn3O4,Mn,0.666666667,4月6日
Mn3O4_rt_02.xdi,Mn3O4,Mn,0.666666667,4月6日
Mn3O4_rt_03.xdi,Mn3O4,Mn,0.666666667,4月6日
MnO2_rt_01.xdi,MnO2,Mn,4,6
MnO2_rt_02.xdi,MnO2,Mn,4,6
MnO2_rt_03.xdi,MnO2,Mn,4,6
MnO_rt_01.xdi,MnO,Mn,2,6
MnO_rt_02.xdi,MnO,Mn,2,6
MnO_rt_03.xdi,MnO,Mn,2,6
Mo metal.xdi,Mo,Mo,0,8
na2cro4_100K_001.xdi,Na2CrO4,Cr,6,4
na2cro4_100K_002.xdi,Na2CrO4,Cr,6,4
na2cro4_100K_003.xdi,Na2CrO4,Cr,6,4
na2cro4_15K_001.xdi,Na2CrO4,Cr,6,4
na2cro4_15K_002.xdi,Na2CrO4,Cr,6,4
na2cro4_rt_001.xdi,Na2CrO4,Cr,6,4
na2cro4_rt_002.xdi,Na2CrO4,Cr,6,4
na2cro4_rt_003.xdi,Na2CrO4,Cr,6,4
Ni2O3_rt_01.xdi,Ni2O3,Ni,3,6
Ni2O3_rt_02.xdi,Ni2O3,Ni,3,6
Ni2O3_rt_03.xdi,Ni2O3,Ni,3,6
NiOH2_rt_01.xdi,Ni(OH)2,Ni,2,6
NiOH2_rt_02.xdi,Ni(OH)2,Ni,2,6
NiOH2_rt_03.xdi,Ni(OH)2,Ni,2,6
NiS_rt_01.xdi,NiS,Ni,2,6
NiS_rt_02.xdi,NiS,Ni,2,6
NiS_rt_03.xdi,NiS,Ni,2,6
Ni_metal_rt_01.xdi,Ni,Ni,0,12
Ni_metal_rt_02.xdi,Ni,Ni,0,12
Se_CoSe_rt_01.xdi,CoSe,Se,-2,6
Se_CoSe_rt_02.xdi,CoSe,Se,-2,6
Se_Cu2Se_rt_01.xdi,Cu2Se,Se,-2,6
Se_Cu2Se_rt_02.xdi,Cu2Se,Se,-2,6
Se_CuSe_rt_01.xdi,CuSe,Se,-2,6
Se_CuSe_rt_02.xdi,CuSe,Se,-2,6
Se_HgSe_rt_01.xdi,HgSe,Se,-2,4
Se_HgSe_rt_02.xdi,HgSe,Se,-2,4
Se_Na2SeO3_rt_01.xdi,Na2SeO3,Se,4,3
Se_Na2SeO3_rt_02.xdi,Na2SeO3,Se,4,3
Se_Na2SeO4_rt_01.xdi,Na2SeO4,Se,6,4
Se_Na2SeO4_rt_02.xdi,Na2SeO4,Se,6,4
Se_NiSe_rt_01.xdi,NiSe,Se,-2,6
Se_NiSe_rt_02.xdi,NiSe,Se,-2,6
Se_Se0_rt_01.xdi,Se,Se,0,2
Se_Se0_rt_02.xdi,Se,Se,0,2
Se_ZnSe_rt_01.xdi,ZnSe,Se,-2,4
Se_ZnSe_rt_02.xdi,ZnSe,Se,-2,4
SrCO3_12K_01.xdi,SrCO3,Sr,2,6
SrCO3_12K_02.xdi,SrCO3,Sr,2,6
SrCO3_12K_03.xdi,SrCO3,Sr,2,6
SrCO3_rt_01.xdi,SrCO3,Sr,2,6
SrO_10K_01.xdi,SrO,Sr,2,6
SrO_10K_02.xdi,SrO,Sr,2,6
SrO_10K_03.xdi,SrO,Sr,2,6
SrO_rt_01.xdi,SrO,Sr,2,6
SrO_rt_02.xdi,SrO,Sr,2,6
SrO_rt_03.xdi,SrO,Sr,2,6
SrSO4_10K_01.xdi,SrSO4,Sr,2,6
SrSO4_10K_02.xdi,SrSO4,Sr,2,6
SrSO4_10K_03.xdi,SrSO4,Sr,2,6
SrSO4_rt_01.xdi,SrSO4,Sr,2,6
SrSO4_rt_02.xdi,SrSO4,Sr,2,6
SrSO4_rt_03.xdi,SrSO4,Sr,2,6
SrTiO3_10K_01.xdi,SrTiO3,Sr,2,12
SrTiO3_10K_02.xdi,SrTiO3,Sr,2,12
SrTiO3_10K_03.xdi,SrTiO3,Sr,2,12
SrTiO3_rt_01.xdi,SrTiO3,Sr,2,12
SrTiO3_rt_02.xdi,SrTiO3,Sr,2,12
SrTiO3_rt_03.xdi,SrTiO3,Sr,2,12
SrZrSi2O7_15K_01.xdi,SrZrSi2O7,Sr,2,8
SrZrSi2O7_15K_02.xdi,SrZrSi2O7,Sr,2,8
SrZrSi2O7_15K_03.xdi,SrZrSi2O7,Sr,2,8
SrZrSi2O7_rt_01.xdi,SrZrSi2O7,Sr,2,8
SrZrSi2O7_rt_02.xdi,SrZrSi2O7,Sr,2,8
Sr_slawsonite_15K_01.xdi,SrAl2Si2O8,Sr,2,10
Sr_slawsonite_15K_02.xdi,SrAl2Si2O8,Sr,2,10
Sr_slawsonite_15K_03.xdi,SrAl2Si2O8,Sr,2,10
Sr_slawsonite_rt_01.xdi,SrAl2Si2O8,Sr,2,10
Sr_slawsonite_rt_02.xdi,SrAl2Si2O8,Sr,2,10
V metal.xdi,V,V,0,8
V2O3.xdi,V2O3,V,3,6
V2O5.xdi,V2O5,V,5,5
VO.xdi,VO,V,2,6
VO2.xdi,VO2,V,4,6
V_foil.xdi,V,V,0,8
ZnO.xdi,ZnO,Zn,2,4
Zn_foil.xdi,Zn,Zn,0,12
zn_znse_rt.xdi,ZnSe,Zn,2,4
